线圈编号,日期,时间(min),平均速度(km/h)
YABX01,20110103,5,79.333
YABX01,20110103,10,74
YABX01,20110103,15,73.708
YABX01,20110103,20,74.444
YABX01,20110103,25,72
YABX01,20110103,30,72.025
YABX01,20110103,35,73.4
YABX01,20110103,40,80.31
YABX01,20110103,45,74.172
YABX01,20110103,50,73.793
YABX01,20110103,55,76.629
YABX01,20110103,60,69.037
YABX01,20110103,65,72.75
YABX01,20110103,70,77.263
YABX01,20110103,75,67.65
YABX01,20110103,80,66.909
YABX01,20110103,85,71.909
YABX01,20110103,90,75.143
YABX01,20110103,95,70.957
YABX01,20110103,100,70.118
YABX01,20110103,105,68.794
YABX01,20110103,110,69.563
YABX01,20110103,115,72.333
YABX01,20110103,120,74.261
YABX01,20110103,125,65.8
YABX01,20110103,130,62.75
YABX01,20110103,135,75.706
YABX01,20110103,140,72.846
YABX01,20110103,145,72.913
YABX01,20110103,150,71
YABX01,20110103,155,74.19
YABX01,20110103,160,57.857
YABX01,20110103,165,75.667
YABX01,20110103,170,79.667
YABX01,20110103,175,75.125
YABX01,20110103,180,72.25
YABX01,20110103,185,68
YABX01,20110103,190,72.714
YABX01,20110103,195,74
YABX01,20110103,200,73.286
YABX01,20110103,205,77.429
YABX01,20110103,210,73.909
YABX01,20110103,215,72.333
YABX01,20110103,220,72
YABX01,20110103,225,83
YABX01,20110103,230,75.2
YABX01,20110103,235,74.8
YABX01,20110103,240,68.5
YABX01,20110103,245,66.143
YABX01,20110103,250,79
YABX01,20110103,255,73.333
YABX01,20110103,260,75.667
YABX01,20110103,265,71.688
YABX01,20110103,270,71.5
YABX01,20110103,275,78
YABX01,20110103,280,70.3
YABX01,20110103,285,73.737
YABX01,20110103,290,75.1
YABX01,20110103,295,77
YABX01,20110103,300,71.333
YABX01,20110103,305,75.429
YABX01,20110103,310,74.125
YABX01,20110103,315,71.429
YABX01,20110103,320,83.083
YABX01,20110103,325,71.889
YABX01,20110103,330,68.857
YABX01,20110103,335,76.765
YABX01,20110103,340,77.385
YABX01,20110103,345,87.2
YABX01,20110103,350,72.467
YABX01,20110103,355,75
YABX01,20110103,360,75
YABX01,20110103,365,75
YABX01,20110103,370,74.882
YABX01,20110103,375,74.091
YABX01,20110103,380,76.353
YABX01,20110103,385,73.345
YABX01,20110103,390,75.174
YABX01,20110103,395,80.5
YABX01,20110103,400,72.6
YABX01,20110103,405,72.692
YABX01,20110103,410,72.25
YABX01,20110103,415,76.667
YABX01,20110103,420,72.37
YABX01,20110103,425,78
YABX01,20110103,430,74.4
YABX01,20110103,435,74.362
YABX01,20110103,440,74.313
YABX01,20110103,445,74
YABX01,20110103,450,75.135
YABX01,20110103,455,75.394
YABX01,20110103,460,71.429
YABX01,20110103,465,78.625
YABX01,20110103,470,72.304
YABX01,20110103,475,76.298
YABX01,20110103,480,76.655
YABX01,20110103,485,77.2
YABX01,20110103,490,77.667
YABX01,20110103,495,79.406
YABX01,20110103,500,72.82
YABX01,20110103,505,75.902
YABX01,20110103,510,77.4
YABX01,20110103,515,80.265
YABX01,20110103,520,74.235
YABX01,20110103,525,75.21
YABX01,20110103,530,74.667
YABX01,20110103,535,73.37
YABX01,20110103,540,74.363
YABX01,20110103,545,76.634
YABX01,20110103,550,75.517
YABX01,20110103,555,73.368
YABX01,20110103,560,72.112
YABX01,20110103,565,74.836
YABX01,20110103,570,75.768
YABX01,20110103,575,70.391
YABX01,20110103,580,76.8
YABX01,20110103,585,73.323
YABX01,20110103,590,71.3
YABX01,20110103,595,71.929
YABX01,20110103,600,77
YABX01,20110103,605,73.786
YABX01,20110103,610,71.582
YABX01,20110103,615,74.67
YABX01,20110103,620,70.317
YABX01,20110103,625,74
YABX01,20110103,630,74
YABX01,20110103,635,71.316
YABX01,20110103,640,70.03
YABX01,20110103,645,70.698
YABX01,20110103,650,73.222
YABX01,20110103,655,73.959
YABX01,20110103,660,73.604
YABX01,20110103,665,72.241
YABX01,20110103,670,72.794
YABX01,20110103,675,72.614
YABX01,20110103,680,66.768
YABX01,20110103,685,72.192
YABX01,20110103,690,70.378
YABX01,20110103,695,73.156
YABX01,20110103,700,75.798
YABX01,20110103,705,73.538
YABX01,20110103,710,73.875
YABX01,20110103,715,71.628
YABX01,20110103,720,73.255
YABX01,20110103,725,75
YABX01,20110103,730,74.167
YABX01,20110103,735,74.706
YABX01,20110103,740,72.29
YABX01,20110103,745,71.549
