线圈编号,日期,时间(min),平均速度(km/h)
YABX01,20110106,5,81.556
YABX01,20110106,10,77.412
YABX01,20110106,15,75.406
YABX01,20110106,20,76.6
YABX01,20110106,25,79.7
YABX01,20110106,30,73.667
YABX01,20110106,35,75
YABX01,20110106,40,74.48
YABX01,20110106,45,77.895
YABX01,20110106,50,76.737
YABX01,20110106,55,75
YABX01,20110106,60,77.194
YABX01,20110106,65,81.435
YABX01,20110106,70,82.059
YABX01,20110106,75,77.85
YABX01,20110106,80,78.333
YABX01,20110106,85,83.308
YABX01,20110106,90,81.222
YABX01,20110106,95,76.72
YABX01,20110106,100,75.222
YABX01,20110106,105,75.611
YABX01,20110106,110,73.2
YABX01,20110106,115,78.222
YABX01,20110106,120,81.438
YABX01,20110106,125,86.545
YABX01,20110106,130,74.077
YABX01,20110106,135,79.8
YABX01,20110106,140,72.25
YABX01,20110106,145,66
YABX01,20110106,150,69.214
YABX01,20110106,155,75.182
YABX01,20110106,160,76.333
YABX01,20110106,165,65
YABX01,20110106,170,71.75
YABX01,20110106,175,71.75
YABX01,20110106,180,84.125
YABX01,20110106,185,68.222
YABX01,20110106,190,78
YABX01,20110106,195,88
YABX01,20110106,200,68.25
YABX01,20110106,205,79.667
YABX01,20110106,210,102
YABX01,20110106,215,86
YABX01,20110106,220,74.5
YABX01,20110106,225,68
YABX01,20110106,230,62.25
YABX01,20110106,235,83.286
YABX01,20110106,240,73.667
YABX01,20110106,245,85
YABX01,20110106,250,82
YABX01,20110106,255,75.167
YABX01,20110106,260,96.5
YABX01,20110106,265,85
YABX01,20110106,270,82
YABX01,20110106,275,79.5
YABX01,20110106,280,81.5
YABX01,20110106,285,81.364
YABX01,20110106,290,79
YABX01,20110106,295,80.125
YABX01,20110106,300,77.385
YABX01,20110106,305,77.143
YABX01,20110106,310,82.182
YABX01,20110106,315,79.636
YABX01,20110106,320,76.455
YABX01,20110106,325,84.308
YABX01,20110106,330,79.412
YABX01,20110106,335,81.643
YABX01,20110106,340,71.4
YABX01,20110106,345,75.846
YABX01,20110106,350,77
YABX01,20110106,355,75.957
YABX01,20110106,360,86.435
YABX01,20110106,365,78.269
YABX01,20110106,370,79.286
YABX01,20110106,375,81.71
YABX01,20110106,380,77.158
YABX01,20110106,385,72.617
YABX01,20110106,390,74.214
YABX01,20110106,395,75.842
YABX01,20110106,400,74.742
YABX01,20110106,405,69.026
YABX01,20110106,410,74.327
YABX01,20110106,415,73.193
YABX01,20110106,420,73.277
YABX01,20110106,425,71.597
YABX01,20110106,430,73.417
YABX01,20110106,435,70.59
YABX01,20110106,440,70.776
YABX01,20110106,445,66.43
YABX01,20110106,450,69.209
YABX01,20110106,455,67
YABX01,20110106,460,69
YABX01,20110106,465,71
YABX01,20110106,470,66.811
YABX01,20110106,475,48.567
YABX01,20110106,480,39.574
YABX01,20110106,485,67.562
YABX01,20110106,490,64.143
YABX01,20110106,495,66.11
YABX01,20110106,500,63.416
