线圈编号,日期,时间(min),平均速度(km/h)
YABX01,20110104,5,0.77448
YABX01,20110104,10,0.76622
YABX01,20110104,15,0.7556
YABX01,20110104,20,0.75436
YABX01,20110104,25,0.81171
YABX01,20110104,30,0.7875
YABX01,20110104,35,0.7890600000000001
YABX01,20110104,40,0.74
YABX01,20110104,45,0.77263
YABX01,20110104,50,0.7770600000000001
YABX01,20110104,55,0.76342
YABX01,20110104,60,0.79176
YABX01,20110104,65,0.8042900000000001
YABX01,20110104,70,0.7929999999999999
YABX01,20110104,75,0.7894100000000001
YABX01,20110104,80,0.7535
YABX01,20110104,85,0.75813
YABX01,20110104,90,0.72167
YABX01,20110104,95,0.74571
YABX01,20110104,100,0.7559999999999999
YABX01,20110104,105,0.77
YABX01,20110104,110,0.7433299999999999
YABX01,20110104,115,0.78389
YABX01,20110104,120,0.728
YABX01,20110104,125,0.8240000000000001
YABX01,20110104,130,0.81833
YABX01,20110104,135,0.7245
YABX01,20110104,140,0.78636
YABX01,20110104,145,0.75429
YABX01,20110104,150,0.7721399999999999
YABX01,20110104,155,0.7566700000000001
YABX01,20110104,160,0.70667
YABX01,20110104,165,0.73111
YABX01,20110104,170,0.67875
YABX01,20110104,175,0.75
YABX01,20110104,180,0.85
YABX01,20110104,185,0.825
YABX01,20110104,190,0.75857
YABX01,20110104,195,0.76667
YABX01,20110104,200,0.69
YABX01,20110104,205,0.804
YABX01,20110104,210,0.71333
YABX01,20110104,215,0.84125
YABX01,20110104,220,0.84667
YABX01,20110104,225,0.87
YABX01,20110104,230,0.7140000000000001
YABX01,20110104,235,0.735
YABX01,20110104,240,0.85
YABX01,20110104,245,0.77833
YABX01,20110104,250,0.81714
YABX01,20110104,255,0.8
YABX01,20110104,260,0.765
YABX01,20110104,265,0.73714
YABX01,20110104,270,0.89
YABX01,20110104,275,0.69375
YABX01,20110104,280,0.68667
YABX01,20110104,285,0.8
YABX01,20110104,290,0.682
YABX01,20110104,295,0.79429
YABX01,20110104,300,0.87091
YABX01,20110104,305,0.742
YABX01,20110104,310,0.7228600000000001
YABX01,20110104,315,0.81077
YABX01,20110104,320,0.78091
YABX01,20110104,325,0.8
YABX01,20110104,330,0.7763599999999999
YABX01,20110104,335,0.7388899999999999
YABX01,20110104,340,0.79
YABX01,20110104,345,0.74375
YABX01,20110104,350,0.73563
YABX01,20110104,355,0.77944
YABX01,20110104,360,0.8184
YABX01,20110104,365,0.785
YABX01,20110104,370,0.7644799999999999
YABX01,20110104,375,0.7823399999999999
YABX01,20110104,380,0.78694
YABX01,20110104,385,0.7616700000000001
YABX01,20110104,390,0.73444
YABX01,20110104,395,0.70528
YABX01,20110104,400,0.75594
YABX01,20110104,405,0.74406
YABX01,20110104,410,0.74
YABX01,20110104,415,0.74265
YABX01,20110104,420,0.7536499999999999
YABX01,20110104,425,0.7662399999999999
YABX01,20110104,430,0.7483
YABX01,20110104,435,0.72599
YABX01,20110104,440,0.71
YABX01,20110104,445,0.67861
YABX01,20110104,450,0.6918300000000001
YABX01,20110104,455,0.68
YABX01,20110104,460,0.66
YABX01,20110104,465,0.67462
YABX01,20110104,470,0.65595
YABX01,20110104,475,0.6916599999999999
YABX01,20110104,480,0.64429
YABX01,20110104,485,0.6616
YABX01,20110104,490,0.65
YABX01,20110104,495,0.65699
YABX01,20110104,500,0.6629999999999999
YABX01,20110104,505,0.66
YABX01,20110104,510,0.67381
YABX01,20110104,515,0.63
YABX01,20110104,520,0.69624
YABX01,20110104,525,0.65134
YABX01,20110104,530,0.67
YABX01,20110104,535,0.6762699999999999
YABX01,20110104,540,0.698
YABX01,20110104,545,0.73
YABX01,20110104,550,0.6758
YABX01,20110104,555,0.7021999999999999
YABX01,20110104,560,0.64361
YABX01,20110104,565,0.6785599999999999
YABX01,20110104,570,0.65581
YABX01,20110104,575,0.69709
YABX01,20110104,580,0.67
YABX01,20110104,585,0.6820499999999999
YABX01,20110104,590,0.69
YABX01,20110104,595,0.68537
YABX01,20110104,600,0.66643
YABX01,20110104,605,0.65211
YABX01,20110104,610,0.72411
YABX01,20110104,615,0.66
YABX01,20110104,620,0.6637900000000001
YABX01,20110104,625,0.68259
YABX01,20110104,630,0.69
YABX01,20110104,635,0.66597
YABX01,20110104,640,0.68199
YABX01,20110104,645,0.67812
YABX01,20110104,650,0.7031399999999999
YABX01,20110104,655,0.67205
YABX01,20110104,660,0.67607
YABX01,20110104,665,0.7382299999999999
YABX01,20110104,670,0.7
YABX01,20110104,675,0.71024
YABX01,20110104,680,0.6917700000000001
YABX01,20110104,685,0.65
YABX01,20110104,690,0.68958
YABX01,20110104,695,0.7022700000000001
YABX01,20110104,700,0.71383
YABX01,20110104,705,0.69979
YABX01,20110104,710,0.73619
YABX01,20110104,715,0.70356
YABX01,20110104,720,0.74
YABX01,20110104,725,0.70707
YABX01,20110104,730,0.74893
YABX01,20110104,735,0.72394
YABX01,20110104,740,0.6825
YABX01,20110104,745,0.72264
YABX01,20110104,750,0.70407
YABX01,20110104,755,0.7261700000000001
YABX01,20110104,760,0.72086
YABX01,20110104,765,0.68596
YABX01,20110104,770,0.69872
YABX01,20110104,775,0.69081
YABX01,20110104,780,0.7080299999999999
YABX01,20110104,785,0.6859000000000001
YABX01,20110104,790,0.68742
YABX01,20110104,795,0.7126399999999999
YABX01,20110104,800,0.6762600000000001
YABX01,20110104,805,0.66845
YABX01,20110104,810,0.68375
YABX01,20110104,815,0.7091500000000001
YABX01,20110104,820,0.67077
YABX01,20110104,825,0.65
YABX01,20110104,830,0.6439900000000001
YABX01,20110104,835,0.62589
YABX01,20110104,840,0.67315
YABX01,20110104,845,0.6754300000000001
YABX01,20110104,850,0.67389
YABX01,20110104,855,0.69785
YABX01,20110104,860,0.65216
YABX01,20110104,865,0.6375500000000001
YABX01,20110104,870,0.6516200000000001
YABX01,20110104,875,0.69864
YABX01,20110104,880,0.62519
YABX01,20110104,885,0.5746
YABX01,20110104,890,0.6322099999999999
YABX01,20110104,895,0.66385
YABX01,20110104,900,0.6239399999999999
YABX01,20110104,905,0.5661200000000001
YABX01,20110104,910,0.6441
YABX01,20110104,915,0.63372
YABX01,20110104,920,0.6354500000000001
YABX01,20110104,925,0.65873
YABX01,20110104,930,0.66145
YABX01,20110104,935,0.6464799999999999
YABX01,20110104,940,0.63257
YABX01,20110104,945,0.67511
YABX01,20110104,950,0.67297
YABX01,20110104,955,0.63
YABX01,20110104,960,0.64369
YABX01,20110104,965,0.59691
YABX01,20110104,970,0.69806
YABX01,20110104,975,0.66267
YABX01,20110104,980,0.63902
YABX01,20110104,985,0.65881
YABX01,20110104,990,0.6818899999999999
YABX01,20110104,995,0.67864
YABX01,20110104,1000,0.68745
YABX01,20110104,1005,0.68754
YABX01,20110104,1010,0.6731900000000001
YABX01,20110104,1015,0.69014
YABX01,20110104,1020,0.70967
YABX01,20110104,1025,0.6693899999999999
YABX01,20110104,1030,0.66779
YABX01,20110104,1035,0.6259
YABX01,20110104,1040,0.61237
YABX01,20110104,1045,0.61567
YABX01,20110104,1050,0.38933
YABX01,20110104,1055,0.14934
YABX01,20110104,1060,0.13080999999999998
YABX01,20110104,1065,0.20047
YABX01,20110104,1070,0.15514
YABX01,20110104,1075,0.11497
YABX01,20110104,1080,0.09
YABX01,20110104,1085,0.10482
YABX01,20110104,1090,0.17485
YABX01,20110104,1095,0.3979
YABX01,20110104,1100,0.61177
YABX01,20110104,1105,0.55578
YABX01,20110104,1110,0.64
YABX01,20110104,1115,0.67381
YABX01,20110104,1120,0.65385
YABX01,20110104,1125,0.66667
YABX01,20110104,1130,0.63474
YABX01,20110104,1135,0.56
YABX01,20110104,1140,0.41204999999999997
YABX01,20110104,1145,0.52411
YABX01,20110104,1150,0.66
YABX01,20110104,1155,0.6662600000000001
YABX01,20110104,1160,0.6725
YABX01,20110104,1165,0.67333
YABX01,20110104,1170,0.70333
YABX01,20110104,1175,0.73029
YABX01,20110104,1180,0.70238
YABX01,20110104,1185,0.7232500000000001
YABX01,20110104,1190,0.67387
YABX01,20110104,1195,0.6893300000000001
YABX01,20110104,1200,0.69391
YABX01,20110104,1205,0.72
YABX01,20110104,1210,0.69
YABX01,20110104,1215,0.72193
YABX01,20110104,1220,0.7451099999999999
YABX01,20110104,1225,0.71619
YABX01,20110104,1230,0.70384
YABX01,20110104,1235,0.69378
YABX01,20110104,1240,0.71857
YABX01,20110104,1245,0.7697499999999999
YABX01,20110104,1250,0.69786
YABX01,20110104,1255,0.6969799999999999
YABX01,20110104,1260,0.74878
YABX01,20110104,1265,0.69565
YABX01,20110104,1270,0.7062900000000001
YABX01,20110104,1275,0.6952200000000001
YABX01,20110104,1280,0.70012
