线圈编号,日期,时间(min),平均速度(km/h)
YABX01,20110107,5,80.286
YABX01,20110107,10,77.625
YABX01,20110107,15,51.403
YABX01,20110107,20,62.296
YABX01,20110107,25,68.067
YABX01,20110107,30,
YABX01,20110107,35,
YABX01,20110107,40,67.843
YABX01,20110107,45,40.667
YABX01,20110107,50,66.2
YABX01,20110107,55,63
YABX01,20110107,60,42
YABX01,20110107,65,69.463
YABX01,20110107,70,69.554
YABX01,20110107,75,57.659
YABX01,20110107,80,64.234
YABX01,20110107,85,54.748
YABX01,20110107,90,61.18
YABX01,20110107,95,67.315
YABX01,20110107,100,69.065
YABX01,20110107,105,61.063
YABX01,20110107,110,63.943
YABX01,20110107,115,59.706
YABX01,20110107,120,62.901
YABX01,20110107,125,68.229
YABX01,20110107,130,22
YABX01,20110107,135,27.586
YABX01,20110107,140,62.076
YABX01,20110107,145,28.5
YABX01,20110107,150,68.633
YABX01,20110107,155,9
YABX01,20110107,160,55.314
YABX01,20110107,165,7.5
YABX01,20110107,170,29
YABX01,20110107,175,5
YABX01,20110107,180,67.626
YABX01,20110107,185,57.322
YABX01,20110107,190,21
YABX01,20110107,195,68.071
YABX01,20110107,200,60.639
YABX01,20110107,205,61.654
YABX01,20110107,210,55.398
YABX01,20110107,215,53
YABX01,20110107,220,54.067
YABX01,20110107,225,58
YABX01,20110107,230,
YABX01,20110107,235,65
YABX01,20110107,240,63.261
YABX01,20110107,245,59.033
YABX01,20110107,250,
YABX01,20110107,255,68.803
YABX01,20110107,260,
YABX01,20110107,265,59.031
YABX01,20110107,270,68.578
YABX01,20110107,275,54.539
YABX01,20110107,280,65.871
YABX01,20110107,285,64.829
YABX01,20110107,290,66.584
YABX01,20110107,295,57.152
YABX01,20110107,300,51.95
YABX01,20110107,305,66.394
YABX01,20110107,310,70.091
YABX01,20110107,315,75.538
YABX01,20110107,320,77.273
YABX01,20110107,325,78
YABX01,20110107,330,77.667
YABX01,20110107,335,
YABX01,20110107,340,83
YABX01,20110107,345,78.5
YABX01,20110107,350,78.273
YABX01,20110107,355,81.909
YABX01,20110107,360,79.25
YABX01,20110107,365,79.75
YABX01,20110107,370,76.571
YABX01,20110107,375,76.565
YABX01,20110107,380,78.333
YABX01,20110107,385,74.234
YABX01,20110107,390,76.73
YABX01,20110107,395,77
YABX01,20110107,400,72.683
YABX01,20110107,405,74.481
YABX01,20110107,410,71.8
YABX01,20110107,415,71.402
YABX01,20110107,420,74
YABX01,20110107,425,75.87
YABX01,20110107,430,70.735
YABX01,20110107,435,55.928
YABX01,20110107,440,70.572
YABX01,20110107,445,67.242
YABX01,20110107,450,68
YABX01,20110107,455,67
YABX01,20110107,460,70.137
YABX01,20110107,465,67.409
YABX01,20110107,470,68.134
YABX01,20110107,475,66.167
YABX01,20110107,480,66
YABX01,20110107,485,65.416
YABX01,20110107,490,66.415
YABX01,20110107,495,64.779
YABX01,20110107,500,55.353
YABX01,20110107,505,65.821
YABX01,20110107,510,63
YABX01,20110107,515,63.702
YABX01,20110107,520,69.56
YABX01,20110107,525,66.771
YABX01,20110107,530,61
YABX01,20110107,535,64.543
YABX01,20110107,540,65.774
YABX01,20110107,545,71.756
YABX01,20110107,550,66.581
