线圈编号,日期,时间(min),平均速度(km/h)
YABX01,20110106,5,0.7819978694567755
YABX01,20110106,10,0.7378088247996085
YABX01,20110106,15,0.716418085518171
YABX01,20110106,20,0.7291501606438121
YABX01,20110106,25,0.7622066371006699
YABX01,20110106,30,0.6978744685638241
YABX01,20110106,35,0.7120887534402728
YABX01,20110106,40,0.7065437960991227
YABX01,20110106,45,0.742959237099177
YABX01,20110106,50,0.7306110436356151
YABX01,20110106,55,0.7120887534402728
YABX01,20110106,60,0.7354842080681263
YABX01,20110106,65,0.7807076005370078
YABX01,20110106,70,0.7873615493463881
YABX01,20110106,75,0.7424793850215773
YABX01,20110106,80,0.7476297973211458
YABX01,20110106,85,0.8006801103446513
YABX01,20110106,90,0.7784363007030367
YABX01,20110106,95,0.7304297661840776
YABX01,20110106,100,0.714456023689764
YABX01,20110106,105,0.7186040783161246
YABX01,20110106,110,0.6928946703362912
YABX01,20110106,115,0.7464461621964004
YABX01,20110106,120,0.7807395906755146
YABX01,20110106,125,0.8351974697933119
YABX01,20110106,130,0.702246454159731
YABX01,20110106,135,0.7632729750508911
YABX01,20110106,140,0.6827644598091894
YABX01,20110106,145,0.6161183379203637
YABX01,20110106,150,0.6503904396404735
YABX01,20110106,155,0.7140294885096756
YABX01,20110106,160,0.7263030383167215
YABX01,20110106,165,0.6054549584181517
YABX01,20110106,170,0.6774327700580834
YABX01,20110106,175,0.6774327700580834
YABX01,20110106,180,0.8093920913979584
YABX01,20110106,185,0.639812367174279
YABX01,20110106,190,0.7440788919469091
YABX01,20110106,195,0.8507126869690304
YABX01,20110106,200,0.6401109418003411
YABX01,20110106,205,0.7618547455770968
YABX01,20110106,210,1.0
YABX01,20110106,215,0.8293859279646061
YABX01,20110106,220,0.7067570636891667
YABX01,20110106,225,0.637445096924788
YABX01,20110106,230,0.5761306647870683
YABX01,20110106,235,0.8004455159956024
YABX01,20110106,240,0.6978744685638241
YABX01,20110106,245,0.818722548462394
YABX01,20110106,250,0.7867324099557577
YABX01,20110106,255,0.7138695378171422
YABX01,20110106,260,0.9413514127378333
YABX01,20110106,265,0.818722548462394
YABX01,20110106,270,0.7867324099557577
YABX01,20110106,275,0.7600739612002273
YABX01,20110106,280,0.7814007202046516
YABX01,20110106,285,0.7799505005923507
YABX01,20110106,290,0.7547422714491213
YABX01,20110106,295,0.7667385733891099
YABX01,20110106,300,0.7375209135530489
YABX01,20110106,305,0.7349403757135133
YABX01,20110106,310,0.7886731450251604
YABX01,20110106,315,0.7615241808125282
YABX01,20110106,320,0.7276039706159916
YABX01,20110106,325,0.8113434898468634
YABX01,20110106,330,0.7591355838040327
YABX01,20110106,335,0.7829255834734679
YABX01,20110106,340,0.6737005872323093
YABX01,20110106,345,0.7211099724991443
YABX01,20110106,350,0.733415512444697
YABX01,20110106,355,0.7222936076238897
YABX01,20110106,360,0.8340244980480684
YABX01,20110106,365,0.7469473410330043
YABX01,20110106,370,0.7577919979867539
YABX01,20110106,375,0.7836400299001162
YABX01,20110106,380,0.7351003264060467
YABX01,20110106,385,0.6866779200865015
YABX01,20110106,390,0.703707337151534
YABX01,20110106,395,0.7210673189811355
YABX01,20110106,400,0.7093376015287023
YABX01,20110106,405,0.6483857242940576
YABX01,20110106,410,0.704912299035284
YABX01,20110106,415,0.6928200266797756
YABX01,20110106,420,0.6937157505579614
YABX01,20110106,425,0.675801272994245
YABX01,20110106,430,0.6952086236882711
YABX01,20110106,435,0.6650632498355175
YABX01,20110106,440,0.6670466384229289
YABX01,20110106,445,0.6207035911063151
YABX01,20110106,450,0.6503371227429625
YABX01,20110106,455,0.6267817174225759
YABX01,20110106,460,0.6481084764270002
YABX01,20110106,465,0.6694352354314244
YABX01,20110106,470,0.6247663386966579
YABX01,20110106,475,0.4302236430582999
YABX01,20110106,480,0.3343278711949063
YABX01,20110106,485,0.6327745367028191
YABX01,20110106,490,0.5963164421847559
YABX01,20110106,495,0.6172913096656071
YABX01,20110106,500,0.5885641652866477
YABX01,20110106,505,0.6009870024067249
YABX01,20110106,510,0.6267817174225759
YABX01,20110106,515,0.5841281994137274
YABX01,20110106,520,0.6009230221297116
YABX01,20110106,525,0.5947915789159396
YABX01,20110106,530,0.6466049399171881
YABX01,20110106,535,0.6054549584181517
YABX01,20110106,540,0.6238812781979741
YABX01,20110106,545,0.6723889915535372
YABX01,20110106,550,0.6543252266767898
YABX01,20110106,555,0.6098269440140586
YABX01,20110106,560,0.6330411211903745
YABX01,20110106,565,0.6413798839611043
YABX01,20110106,570,0.6143482169229966
YABX01,20110106,575,0.4916020554730329
YABX01,20110106,580,0.34847817579434187
YABX01,20110106,585,0.3388704708628487
YABX01,20110106,590,0.06250766430401722
YABX01,20110106,595,0.1096611284627992
YABX01,20110106,600,0.24290005534293962
YABX01,20110106,605,0.5818782263387607
YABX01,20110106,610,0.5077997289368931
YABX01,20110106,615,0.6310790593619675
YABX01,20110106,620,0.6119276297759945
YABX01,20110106,625,0.6161183379203637
YABX01,20110106,630,0.5778048153689156
YABX01,20110106,635,0.6034289163127314
YABX01,20110106,640,0.6481084764270002
YABX01,20110106,645,0.6264511526580073
YABX01,20110106,650,0.5940877958687936
YABX01,20110106,655,0.6006990911601651
YABX01,20110106,660,0.5585360886084184
YABX01,20110106,665,0.5758214267815042
YABX01,20110106,670,0.6610964726606946
YABX01,20110106,675,0.6694352354314244
YABX01,20110106,680,0.6043566303294239
YABX01,20110106,685,0.6406867642934605
YABX01,20110106,690,0.61190630301699
YABX01,20110106,695,0.623166831771326
YABX01,20110106,700,0.6554342181450199
YABX01,20110106,705,0.6308764551514253
YABX01,20110106,710,0.6083873877812601
YABX01,20110106,715,0.6092831116594458
YABX01,20110106,720,0.6576841912199866
YABX01,20110106,725,0.6660656075087253
YABX01,20110106,730,0.6267817174225759
YABX01,20110106,735,0.6250862400817241
YABX01,20110106,740,0.6267817174225759
YABX01,20110106,745,0.6120342635710166
YABX01,20110106,750,0.6437684809695998
YABX01,20110106,755,0.6323906550407394
YABX01,20110106,760,0.5456227360312396
YABX01,20110106,765,0.6207569080038261
YABX01,20110106,770,0.6267817174225759
YABX01,20110106,775,0.6352697675063368
YABX01,20110106,780,0.6411132994735489
YABX01,20110106,785,0.6587718559292123
YABX01,20110106,790,0.5777301717124002
YABX01,20110106,795,0.5923390016304309
YABX01,20110106,800,0.5438312882748678
YABX01,20110106,805,0.5668961781381526
YABX01,20110106,810,0.45297929491602057
YABX01,20110106,815,0.12031384458550913
YABX01,20110106,820,0.013692845618790587
YABX01,20110106,825,0.029632465298697258
YABX01,20110106,830,0.00830570629427302
YABX01,20110106,835,0.00830570629427302
YABX01,20110106,840,0.14138468248188027
YABX01,20110106,845,0.07228598330754574
YABX01,20110106,850,0.08202164879306541
YABX01,20110106,855,0.01609850403448964
YABX01,20110106,860,0.029632465298697258
YABX01,20110106,865,0.05689872668585365
YABX01,20110106,870,0.08843033987389487
YABX01,20110106,875,0.07228598330754574
YABX01,20110106,880,0.13638355749534278
YABX01,20110106,885,0.07274450862614085
YABX01,20110106,890,0.029931039924759203
YABX01,20110106,895,0.05680275627033374
YABX01,20110106,900,0.08856896380742366
YABX01,20110106,905,0.07276583538514528
YABX01,20110106,910,0.09334615782441469
YABX01,20110106,915,0.11493950131639422
YABX01,20110106,920,0.31064450532049326
YABX01,20110106,925,0.35588922454837923
YABX01,20110106,930,0.5278362190215496
YABX01,20110106,935,0.5667895443431306
YABX01,20110106,940,0.48555591929527864
YABX01,20110106,945,0.42199151408259217
YABX01,20110106,950,0.4893307556390617
YABX01,20110106,955,0.5881589568655636
YABX01,20110106,960,0.6107120045127422
YABX01,20110106,965,0.5887880962561941
YABX01,20110106,970,0.576162654925575
YABX01,20110106,975,0.486632920625002
YABX01,20110106,980,0.4605716211215956
YABX01,20110106,985,0.35611315551792566
YABX01,20110106,990,0.4028507478761214
YABX01,20110106,995,0.5011244533685083
YABX01,20110106,1000,0.26314981301764045
YABX01,20110106,1005,0.3633322634409233
YABX01,20110106,1010,0.5705004004099004
YABX01,20110106,1015,0.6246490415221334
YABX01,20110106,1020,0.6072570695540255
YABX01,20110106,1025,0.5734648199115153
YABX01,20110106,1030,0.5712788271135618
YABX01,20110106,1035,0.26356568481822673
YABX01,20110106,1040,0.0455955444135088
YABX01,20110106,1045,0.10953316790877266
YABX01,20110106,1050,0.1260933962757081
YABX01,20110106,1055,0.19508546165502047
YABX01,20110106,1060,0.21659349811098236
YABX01,20110106,1065,0.13837760946225644
YABX01,20110106,1070,0.03454828324921705
YABX01,20110106,1075,0.06727419494150604
YABX01,20110106,1080,0.05167367072976971
YABX01,20110106,1085,0.023906230506009343
YABX01,20110106,1090,0.003507185518277575
YABX01,20110106,1095,0.04565952469052208
YABX01,20110106,1100,0.05068197643606398
YABX01,20110106,1105,0.0251005290102571
YABX01,20110106,1110,0.009668486194655736
YABX01,20110106,1115,0.07228598330754574
YABX01,20110106,1120,0.2738558460378614
YABX01,20110106,1125,0.5609246856169139
YABX01,20110106,1130,0.4096859741370394
YABX01,20110106,1135,0.17266037456186842
YABX01,20110106,1140,0.49146343153950417
YABX01,20110106,1145,0.6216419685025096
YABX01,20110106,1150,0.6296714932676754
YABX01,20110106,1155,0.6622907711649423
YABX01,20110106,1160,0.6298207805807063
YABX01,20110106,1165,0.6594863023558604
YABX01,20110106,1170,0.6229215740427752
YABX01,20110106,1175,0.4217889098720502
YABX01,20110106,1180,0.3516238727474944
YABX01,20110106,1185,0.3594614566816203
YABX01,20110106,1190,0.521320894145698
YABX01,20110106,1195,0.613911018363406
YABX01,20110106,1200,0.6295008791956399
YABX01,20110106,1205,0.635834926619954
YABX01,20110106,1210,0.6396310897227415
YABX01,20110106,1215,0.6161183379203637
YABX01,20110106,1220,0.6659909638522099
YABX01,20110106,1225,0.6485670017455953
YABX01,20110106,1230,0.6352377773678302
YABX01,20110106,1235,0.6587718559292123
YABX01,20110106,1240,0.6286691355944676
YABX01,20110106,1245,0.6197438869511159
YABX01,20110106,1250,0.6252675175332618
YABX01,20110106,1255,0.6566818335467787
YABX01,20110106,1260,0.6655324385336148
YABX01,20110106,1265,0.6437471542105954
YABX01,20110106,1270,0.6457625329365135
YABX01,20110106,1275,0.5963377689437602
YABX01,20110106,1280,0.6434485795845335
YABX01,20110106,1285,0.610552053820209
YABX01,20110106,1290,0.6581107264000752
YABX01,20110106,1295,0.6671106186999421
YABX01,20110106,1300,0.637445096924788
YABX01,20110106,1305,0.6587718559292123
YABX01,20110106,1310,0.6598381938794334
YABX01,20110106,1315,0.6797467234100635
YABX01,20110106,1320,0.6721543972044884
YABX01,20110106,1325,0.6624080683394665
YABX01,20110106,1330,0.650966262133593
YABX01,20110106,1335,0.6790855938809264
YABX01,20110106,1340,0.6230282078377972
YABX01,20110106,1345,0.6940249885635256
YABX01,20110106,1350,0.6976292108352732
YABX01,20110106,1355,0.6628452668990573
YABX01,20110106,1360,0.6844492737705391
YABX01,20110106,1365,0.6571403588653738
YABX01,20110106,1370,0.6587718559292123
YABX01,20110106,1375,0.6748628955980503
YABX01,20110106,1380,0.660211412162011
YABX01,20110106,1385,0.6838414611389129
YABX01,20110106,1390,0.6418384092796995
YABX01,20110106,1395,0.6866779200865015
YABX01,20110106,1400,0.6857075525518002
YABX01,20110106,1405,0.7227521329424849
YABX01,20110106,1410,0.688458704463371
YABX01,20110106,1415,0.7270174847433698
YABX01,20110106,1420,0.7489094028614113
YABX01,20110106,1425,0.7759090797610124
YABX01,20110106,1430,0.7440788919469091
YABX01,20110106,1435,0.7202462387594653
YABX01,20110106,1440,0.7397602232485132
YABX02,20110106,5,0.6928200266797756
YABX02,20110106,10,0.659411658699345
YABX02,20110106,15,0.6400896150413367
YABX02,20110106,20,0.6572043391423871
YABX02,20110106,25,0.681228933160871
YABX02,20110106,30,0.6376583645148323
YABX02,20110106,35,0.6453040076179183
YABX02,20110106,40,0.6675691440185373
YABX02,20110106,45,0.6823272612495989
YABX02,20110106,50,0.6603287093365352
YABX02,20110106,55,0.6451760470638918
YABX02,20110106,60,0.6716745451268888
YABX02,20110106,65,0.6640822189213139
YABX02,20110106,70,0.6822632809725856
YABX02,20110106,75,0.6778166517201631
YABX02,20110106,80,0.669861770611513
YABX02,20110106,85,0.7011161359324966
YABX02,20110106,90,0.7043258131626626
YABX02,20110106,95,0.6510089156516019
YABX02,20110106,100,0.6355683421323987
YABX02,20110106,105,0.6587718559292123
YABX02,20110106,110,0.6441523626316795
YABX02,20110106,115,0.6621628106109158
YABX02,20110106,120,0.6841080456264682
YABX02,20110106,125,0.6841293723854728
YABX02,20110106,130,0.6498679340448652
YABX02,20110106,135,0.6669719947664134
YABX02,20110106,140,0.613217898695762
YABX02,20110106,145,0.5754055549809179
YABX02,20110106,150,0.6087606060638374
YABX02,20110106,155,0.6560313673971437
YABX02,20110106,160,0.664892635763482
YABX02,20110106,165,0.5800547884438825
YABX02,20110106,170,0.6321773874506953
YABX02,20110106,175,0.6343527168691464
YABX02,20110106,180,0.7098814338833149
