线圈编号,日期,时间(min),平均速度(km/h)
YABX01,20110104,5,77.448
YABX01,20110104,10,76.622
YABX01,20110104,15,75.56
YABX01,20110104,20,75.436
YABX01,20110104,25,81.171
YABX01,20110104,30,78.75
YABX01,20110104,35,78.906
YABX01,20110104,40,74
YABX01,20110104,45,77.263
YABX01,20110104,50,77.706
YABX01,20110104,55,76.342
YABX01,20110104,60,79.176
YABX01,20110104,65,80.429
YABX01,20110104,70,79.3
YABX01,20110104,75,78.941
YABX01,20110104,80,75.35
YABX01,20110104,85,75.813
YABX01,20110104,90,72.167
YABX01,20110104,95,74.571
YABX01,20110104,100,75.6
YABX01,20110104,105,77
YABX01,20110104,110,74.333
YABX01,20110104,115,78.389
YABX01,20110104,120,72.8
YABX01,20110104,125,82.4
YABX01,20110104,130,81.833
YABX01,20110104,135,72.45
YABX01,20110104,140,78.636
YABX01,20110104,145,75.429
YABX01,20110104,150,77.214
YABX01,20110104,155,75.667
YABX01,20110104,160,70.667
YABX01,20110104,165,73.111
YABX01,20110104,170,67.875
YABX01,20110104,175,75
YABX01,20110104,180,85
YABX01,20110104,185,82.5
YABX01,20110104,190,75.857
YABX01,20110104,195,76.667
YABX01,20110104,200,69
YABX01,20110104,205,80.4
YABX01,20110104,210,71.333
YABX01,20110104,215,84.125
YABX01,20110104,220,84.667
YABX01,20110104,225,87
YABX01,20110104,230,71.4
YABX01,20110104,235,73.5
YABX01,20110104,240,85
YABX01,20110104,245,77.833
YABX01,20110104,250,81.714
YABX01,20110104,255,80
YABX01,20110104,260,76.5
YABX01,20110104,265,73.714
YABX01,20110104,270,89
YABX01,20110104,275,69.375
YABX01,20110104,280,68.667
YABX01,20110104,285,80
YABX01,20110104,290,68.2
YABX01,20110104,295,79.429
YABX01,20110104,300,87.091
YABX01,20110104,305,74.2
YABX01,20110104,310,72.286
YABX01,20110104,315,81.077
YABX01,20110104,320,78.091
YABX01,20110104,325,80
YABX01,20110104,330,77.636
YABX01,20110104,335,73.889
YABX01,20110104,340,79
YABX01,20110104,345,74.375
YABX01,20110104,350,73.563
YABX01,20110104,355,77.944
YABX01,20110104,360,81.84
YABX01,20110104,365,78.5
YABX01,20110104,370,76.448
YABX01,20110104,375,78.234
YABX01,20110104,380,78.694
YABX01,20110104,385,76.167
YABX01,20110104,390,73.444
YABX01,20110104,395,70.528
YABX01,20110104,400,75.594
YABX01,20110104,405,74.406
YABX01,20110104,410,74
YABX01,20110104,415,74.265
YABX01,20110104,420,75.365
YABX01,20110104,425,76.624
YABX01,20110104,430,74.83
YABX01,20110104,435,72.599
YABX01,20110104,440,71
YABX01,20110104,445,67.861
YABX01,20110104,450,69.183
YABX01,20110104,455,68
YABX01,20110104,460,66
YABX01,20110104,465,67.462
YABX01,20110104,470,65.595
YABX01,20110104,475,69.166
YABX01,20110104,480,64.429
YABX01,20110104,485,66.16
YABX01,20110104,490,65
YABX01,20110104,495,65.699
YABX01,20110104,500,66.3
YABX01,20110104,505,66
YABX01,20110104,510,67.381
YABX01,20110104,515,63
