Time,series_A,series_B,series_C
5:30,78.49,75.75,78.83
5:35,79.57,74.15,77.25
5:40,76.55,81.37,83.6
5:45,80.52,84.73,86.82
5:50,81.69,79.63,82.49
5:55,78.69,80.01,81.24
6:00,84.29,75.81,83.71
6:05,77.88,79.99,79.23
6:10,79.79,79.09,78.97
6:15,80.77,80.25,76.81
6:20,79.38,82.13,83.03
6:25,77.73,74.08,76.36
6:30,76.47,75.12,79.78
6:35,75.45,73.52,79.23
6:40,75.81,78.16,73.98
6:45,72.36,73.63,81.02
6:50,67.9,68.77,83.42
6:55,65.06,68.37,80.78
7:00,59.2,59.99,82.37
7:05,53.97,55.96,78.43
7:10,50.26,51.51,81.31
7:15,46.81,43.38,78.99
7:20,38.85,43.43,79.51
7:25,33.98,41.27,82.95
7:30,34.72,46.36,80.22
7:35,33.87,45.24,76.24
7:40,31.21,38.19,77.31
7:45,31.53,37.03,80.84
7:50,34.25,36.18,78.27
7:55,37.77,32.89,78.43
8:00,31.03,35.98,79.67
8:05,29.23,37.43,75.38
8:10,30.62,33.9,80.4
8:15,34.5,35.94,81.14
8:20,31.83,31.74,76.79
8:25,36.44,31.75,79.99
8:30,50.54,32.9,79.22
8:35,53.37,33.36,77.43
8:40,54.17,37.45,79.88
8:45,59.87,36.66,76.97
8:50,57.6,47.2,79.49
8:55,50.91,50.06,80.12
9:00,52.08,60.15,80.12
9:05,52.57,60.51,78.17
9:10,49.86,66.23,79.09
9:15,56.19,63.39,76.98
9:20,59.46,61.16,77.88
9:25,61.65,58.21,72.8
9:30,64.91,56.22,77.84
9:35,60.91,46.64,73.99
9:40,55.26,41.07,75.07
9:45,47.97,37.43,74.8
9:50,42.27,41.99,71.45
9:55,36.67,50.79,72.1
10:00,33.88,36.37,73.77
10:05,30.39,33.04,73.19
10:10,32.75,31.59,74.73
10:15,31.16,36.42,68.99
10:20,34.4,34.63,69.37
10:25,30.05,33.91,68.79
10:30,25.64,33.95,70.15
10:35,25.99,37.63,77.28
10:40,26.22,34.44,76.95
10:45,25.59,32.2,69.72
10:50,27.41,31.4,71.73
10:55,29.83,32.48,73.57
11:00,34.33,44.63,73.57
11:05,39.24,40.47,76.01
11:10,38.36,34.83,74.17
11:15,36.77,42.69,70.12
11:20,45.08,46.38,73.47
11:25,53.2,46.78,71.98
11:30,63.53,53.98,73.46
11:35,61.11,57.75,72.93
11:40,65.61,61,68.69
11:45,58.81,60.36,64.14
11:50,62.14,53.47,74.39
11:55,65.77,57.53,75.66
12:00,61.46,66.08,74.47
12:05,65.5,64.29,74.86
12:10,67.11,61.76,76.16
12:15,65.49,63.51,74.73
12:20,69.79,58.21,73.33
12:25,69.21,57.42,75.86
12:30,52.92,62.24,74.2
12:35,54.8,58.37,72.38
12:40,55.91,58.66,72.88
12:45,51.32,57.14,74.37
12:50,52.31,53.38,74.53
12:55,45.41,45.82,77.41
13:00,51.06,45.18,74.66
13:05,48.16,41.21,76.61
13:10,42.97,41.2,64.13
13:15,51.36,49.2,61.9
13:20,46.22,46.91,65.85
13:25,45.77,49.26,64.93
13:30,46.24,43.92,68.3
13:35,50.1,37.4,67.36
13:40,49.02,36.53,67
13:45,53.02,34.87,64.64
13:50,47.64,37.55,71.34
13:55,45.98,33.55,69.21
14:00,54.01,42,67.53
14:05,50.07,39.32,67.38
14:10,39.74,38.38,67.92
14:15,40.53,42.65,69.09
14:20,39.44,41.34,70.6
14:25,40.03,38.59,65.26
14:30,39.94,38.38,67.74
14:35,40.33,32.64,65.24
14:40,41.69,33.46,66.3
14:45,35.44,39.31,68.03
14:50,34.76,41.78,67.94
14:55,34.86,38.62,64.94
15:00,43.59,44.02,66.08
15:05,46.71,41.8,66.41
15:10,40.81,46.92,65.3
15:15,45.49,49.27,60.06
15:20,44.27,41.73,64.35
15:25,36.44,44.24,63.21
15:30,40.48,41.94,54.76
15:35,37.33,35.12,57.94
15:40,39.25,35.67,66.7
15:45,39.46,36.79,57.43
15:50,44.67,41.61,58.71
15:55,38.9,45.36,67.15
16:00,39.05,49.21,62.82
16:05,36.39,51.6,69.42
16:10,37.58,48.86,56.09
16:15,44.65,48.38,60.18
16:20,43.89,52.54,67.4
16:25,48.42,50.72,62.44
16:30,46.8,52.54,63.04
16:35,63.47,55.65,67.16
16:40,63.85,57.67,66.41
16:45,62.82,58.75,69.82
16:50,62.42,60.46,57.54
16:55,63.12,67.35,63.77
17:00,64.86,61.98,68.2
17:05,60.94,61.89,66.94
17:10,58.59,49.84,61.97
17:15,53.35,62,69.13
17:20,51.75,62.84,61
17:25,53.64,63.55,63.62
17:30,60.47,58.82,58.08
17:35,58.19,60.61,65.81
17:40,55.9,64.32,67.83
17:45,63.47,62.6,62.43
17:50,64.85,58.79,67.82
17:55,58.4,63.27,65.46
18:00,66.18,65.3,65.18
18:05,62.42,62.12,61.67
18:10,59.07,64.36,64.51
18:15,58.97,58.75,71.15
18:20,44.76,62.58,65.8
18:25,41.41,53.41,68.51
18:30,38.18,47,70.38
18:35,36.68,47.92,70.24
18:40,31.38,45.71,62.12
18:45,35.1,34.13,74.59
18:50,33.05,33.04,69.85
18:55,45.84,32.79,70.34
19:00,39.47,34.2,69.49
19:05,40.99,33.15,71.8
19:10,43.19,36.07,66.64
19:15,45.27,39.28,68.29
19:20,50.89,40.4,73.53
19:25,57.76,60.68,65.57
19:30,58.79,56.33,71.13
19:35,54.74,48.64,72.27
19:40,51.53,43.61,66.75
19:45,46.47,44.4,66.73
19:50,42.54,53.95,68.21
19:55,52.05,41.13,67.62
20:00,59.11,47.39,71.13
20:05,66.6,57.12,66.88
20:10,61.81,60.19,68.73
20:15,57.53,61.63,67.84
20:20,64.34,57.42,65.5
20:25,62.37,60.64,58.67
20:30,63.7,62.47,61.01
20:35,54.18,61.86,63.11
20:40,59.47,59.54,64.58
20:45,60.13,64.44,66.36
20:50,63.39,62.91,66.84
20:55,65.88,60.25,64.9
21:00,63.63,60.56,63.69
21:05,62.3,61.23,68.58
21:10,62.98,55.78,66.82
21:15,67.84,58.21,65.57
21:20,65.23,55.15,68.04
21:25,65.82,62.42,65.07
21:30,61.66,62.42,70.35
21:35,62.33,65.47,68.64
21:40,59.87,59.89,71.34
21:45,64.36,64.26,70.32
21:50,67.21,62.46,73.84
21:55,65.88,61.56,70.38
22:00,68.86,65.23,71.07
22:05,68.26,66.56,71.44
22:10,70.54,70.19,69.54
22:15,66.19,63.54,70.86
22:20,65.68,66.22,75.76
22:25,67.68,68.94,73.21
22:30,69.75,68.6,76.5
22:35,77.61,69,74.8
22:40,68.16,66.97,75.89
22:45,71.92,74.29,79.97
22:50,72.71,68.27,76.13
22:55,75.24,71.65,76.99
23:00,74.05,71.21,75.79
23:05,74.31,75.17,74.91
23:10,73.79,73.24,80.21
23:15,77.88,73.9,76.24
23:20,73.86,78.35,81.38
23:25,71.5,78.92,79.38
23:30,75.9,76.01,78.17
23:35,77.4,76.37,79.5
23:40,73.15,74.08,78.86
23:45,71.64,73.81,80.17
23:50,74.71,75.56,77.34
23:55,76.5,75,76.96
