线圈编号,日期,时间(min),平均速度(km/h)
YABX01,20110106,5,1.2078736748151078
YABX01,20110106,10,1.013088156257354
YABX01,20110106,15,0.9187976759902557
YABX01,20110106,20,0.9749207235669827
YABX01,20110106,25,1.1206338286656892
YABX01,20110106,30,0.8370573244526265
YABX01,20110106,35,0.8997139596450701
YABX01,20110106,40,0.8752717613704486
YABX01,20110106,45,1.0357911981162808
YABX01,20110106,50,0.9813603027277964
YABX01,20110106,55,0.8997139596450701
YABX01,20110106,60,1.0028412346729931
YABX01,20110106,65,1.2021861632935134
YABX01,20110106,70,1.2315168012230593
YABX01,20110106,75,1.033676007880977
YABX01,20110106,80,1.0563790497399046
YABX01,20110106,85,1.2902250813096028
YABX01,20110106,90,1.1921742628464085
YABX01,20110106,95,0.9805612308611263
YABX01,20110106,100,0.9101488981392352
YABX01,20110106,105,0.9284335426177507
YABX01,20110106,110,0.8151063502329182
YABX01,20110106,115,1.0511615804928218
YABX01,20110106,120,1.202327175975867
YABX01,20110106,125,1.4423777655691226
YABX01,20110106,130,0.8563290577076165
YABX01,20110106,135,1.1253342514108085
YABX01,20110106,140,0.7704523341542823
YABX01,20110106,145,0.47667591258431025
YABX01,20110106,150,0.6277474996124526
YABX01,20110106,155,0.9082687290411877
YABX01,20110106,160,0.9623705948375136
YABX01,20110106,165,0.4296716851331147
YABX01,20110106,170,0.7469502204286845
YABX01,20110106,175,0.7469502204286845
YABX01,20110106,180,1.3286275351372292
YABX01,20110106,185,0.5811193059808665
YABX01,20110106,190,1.0407266419986567
YABX01,20110106,195,1.510768916510612
YABX01,20110106,200,0.5824354243495001
YABX01,20110106,205,1.1190826891597996
YABX01,20110106,210,2.1688281008273496
YABX01,20110106,215,1.416760461608221
YABX01,20110106,220,0.8762118459194723
YABX01,20110106,225,0.5706843674867013
YABX01,20110106,230,0.300410059642327
YABX01,20110106,235,1.2891909883056762
YABX01,20110106,240,0.8370573244526265
YABX01,20110106,245,1.3697562341570253
YABX01,20110106,250,1.2287435518034389
YABX01,20110106,255,0.9075636656294198
YABX01,20110106,260,1.910304849845774
YABX01,20110106,265,1.3697562341570253
YABX01,20110106,270,1.2287435518034389
YABX01,20110106,275,1.11123298317545
YABX01,20110106,280,1.2052414380778411
YABX01,20110106,285,1.1988488631444787
YABX01,20110106,290,1.0877308694498522
YABX01,20110106,295,1.140610625332447
YABX01,20110106,300,1.0118190421161717
YABX01,20110106,305,1.0004440190729822
YABX01,20110106,310,1.2372983211995565
YABX01,20110106,315,1.1176255581088124
YABX01,20110106,320,0.9681051105865595
YABX01,20110106,325,1.3372293087607985
YABX01,20110106,330,1.1070966111597451
YABX01,20110106,335,1.211963042603362
YABX01,20110106,340,0.7304987408207664
YABX01,20110106,345,0.9394795360687817
YABX01,20110106,350,0.9937224145474611
YABX01,20110106,355,0.9446970053158639
YABX01,20110106,360,1.437207300549491
YABX01,20110106,365,1.0533707791830285
