线圈编号,日期,时间(min),平均速度(km/h)
YABX01,20110103,5,0.79333
YABX01,20110103,10,0.74
YABX01,20110103,15,0.73708
YABX01,20110103,20,0.74444
YABX01,20110103,25,0.72
YABX01,20110103,30,0.7202500000000001
YABX01,20110103,35,0.7340000000000001
YABX01,20110103,40,0.8031
YABX01,20110103,45,0.7417199999999999
YABX01,20110103,50,0.7379300000000001
YABX01,20110103,55,0.76629
YABX01,20110103,60,0.69037
YABX01,20110103,65,0.7275
YABX01,20110103,70,0.77263
YABX01,20110103,75,0.6765000000000001
YABX01,20110103,80,0.6690900000000001
YABX01,20110103,85,0.71909
YABX01,20110103,90,0.75143
YABX01,20110103,95,0.7095699999999999
YABX01,20110103,100,0.7011799999999999
YABX01,20110103,105,0.68794
YABX01,20110103,110,0.69563
YABX01,20110103,115,0.72333
YABX01,20110103,120,0.74261
YABX01,20110103,125,0.6579999999999999
YABX01,20110103,130,0.6275
YABX01,20110103,135,0.7570600000000001
YABX01,20110103,140,0.72846
YABX01,20110103,145,0.72913
YABX01,20110103,150,0.71
YABX01,20110103,155,0.7419
YABX01,20110103,160,0.57857
YABX01,20110103,165,0.7566700000000001
YABX01,20110103,170,0.79667
YABX01,20110103,175,0.75125
YABX01,20110103,180,0.7225
YABX01,20110103,185,0.68
YABX01,20110103,190,0.72714
YABX01,20110103,195,0.74
YABX01,20110103,200,0.7328600000000001
YABX01,20110103,205,0.77429
YABX01,20110103,210,0.73909
YABX01,20110103,215,0.72333
YABX01,20110103,220,0.72
YABX01,20110103,225,0.83
YABX01,20110103,230,0.752
YABX01,20110103,235,0.748
YABX01,20110103,240,0.685
YABX01,20110103,245,0.66143
YABX01,20110103,250,0.79
YABX01,20110103,255,0.73333
YABX01,20110103,260,0.7566700000000001
YABX01,20110103,265,0.7168800000000001
YABX01,20110103,270,0.715
YABX01,20110103,275,0.78
YABX01,20110103,280,0.703
YABX01,20110103,285,0.73737
YABX01,20110103,290,0.7509999999999999
YABX01,20110103,295,0.77
YABX01,20110103,300,0.71333
YABX01,20110103,305,0.75429
YABX01,20110103,310,0.74125
YABX01,20110103,315,0.71429
YABX01,20110103,320,0.83083
YABX01,20110103,325,0.7188899999999999
YABX01,20110103,330,0.68857
YABX01,20110103,335,0.76765
YABX01,20110103,340,0.77385
YABX01,20110103,345,0.872
YABX01,20110103,350,0.72467
YABX01,20110103,355,0.75
YABX01,20110103,360,0.75
YABX01,20110103,365,0.75
YABX01,20110103,370,0.74882
YABX01,20110103,375,0.74091
YABX01,20110103,380,0.7635299999999999
YABX01,20110103,385,0.7334499999999999
YABX01,20110103,390,0.7517400000000001
YABX01,20110103,395,0.805
YABX01,20110103,400,0.726
YABX01,20110103,405,0.7269199999999999
YABX01,20110103,410,0.7225
YABX01,20110103,415,0.76667
YABX01,20110103,420,0.7237
YABX01,20110103,425,0.78
YABX01,20110103,430,0.7440000000000001
YABX01,20110103,435,0.74362
YABX01,20110103,440,0.7431300000000001
YABX01,20110103,445,0.74
YABX01,20110103,450,0.7513500000000001
YABX01,20110103,455,0.75394
YABX01,20110103,460,0.71429
YABX01,20110103,465,0.78625
YABX01,20110103,470,0.72304
YABX01,20110103,475,0.76298
YABX01,20110103,480,0.7665500000000001
YABX01,20110103,485,0.772
YABX01,20110103,490,0.77667
YABX01,20110103,495,0.7940600000000001
YABX01,20110103,500,0.7282
YABX01,20110103,505,0.75902
YABX01,20110103,510,0.774
YABX01,20110103,515,0.80265
YABX01,20110103,520,0.74235
YABX01,20110103,525,0.7521
YABX01,20110103,530,0.7466700000000001
YABX01,20110103,535,0.7337
YABX01,20110103,540,0.74363
YABX01,20110103,545,0.76634
YABX01,20110103,550,0.75517
YABX01,20110103,555,0.73368
YABX01,20110103,560,0.72112
YABX01,20110103,565,0.74836
YABX01,20110103,570,0.75768
YABX01,20110103,575,0.70391
YABX01,20110103,580,0.768
YABX01,20110103,585,0.7332299999999999
YABX01,20110103,590,0.713
YABX01,20110103,595,0.71929
YABX01,20110103,600,0.77
YABX01,20110103,605,0.73786
YABX01,20110103,610,0.7158199999999999
YABX01,20110103,615,0.7467
YABX01,20110103,620,0.70317
YABX01,20110103,625,0.74
YABX01,20110103,630,0.74
YABX01,20110103,635,0.71316
YABX01,20110103,640,0.7003
YABX01,20110103,645,0.7069799999999999
YABX01,20110103,650,0.73222
YABX01,20110103,655,0.7395900000000001
YABX01,20110103,660,0.73604
YABX01,20110103,665,0.72241
YABX01,20110103,670,0.7279399999999999
YABX01,20110103,675,0.72614
YABX01,20110103,680,0.66768
YABX01,20110103,685,0.7219199999999999
YABX01,20110103,690,0.70378
YABX01,20110103,695,0.7315600000000001
YABX01,20110103,700,0.75798
YABX01,20110103,705,0.7353799999999999
YABX01,20110103,710,0.73875
YABX01,20110103,715,0.71628
YABX01,20110103,720,0.7325499999999999
YABX01,20110103,725,0.75
YABX01,20110103,730,0.74167
YABX01,20110103,735,0.7470600000000001
YABX01,20110103,740,0.7229000000000001
YABX01,20110103,745,0.7154900000000001
YABX01,20110103,750,0.72333
YABX01,20110103,755,0.69742
YABX01,20110103,760,0.71248
YABX01,20110103,765,0.74265
YABX01,20110103,770,0.7537600000000001
YABX01,20110103,775,0.71402
YABX01,20110103,780,0.72421
YABX01,20110103,785,0.7133700000000001
YABX01,20110103,790,0.70813
YABX01,20110103,795,0.731
YABX01,20110103,800,0.7524
YABX01,20110103,805,0.74188
YABX01,20110103,810,0.7025
YABX01,20110103,815,0.6661100000000001
YABX01,20110103,820,0.70063
YABX01,20110103,825,0.7
YABX01,20110103,830,0.70705
YABX01,20110103,835,0.71
YABX01,20110103,840,0.71
YABX01,20110103,845,0.67818
YABX01,20110103,850,0.66305
YABX01,20110103,855,0.71525
YABX01,20110103,860,0.69256
YABX01,20110103,865,0.70368
YABX01,20110103,870,0.6813899999999999
YABX01,20110103,875,0.73263
YABX01,20110103,880,0.67194
YABX01,20110103,885,0.67853
YABX01,20110103,890,0.71333
YABX01,20110103,895,0.695
YABX01,20110103,900,0.72
YABX01,20110103,905,0.67635
YABX01,20110103,910,0.68
YABX01,20110103,915,0.70037
YABX01,20110103,920,0.6759999999999999
YABX01,20110103,925,0.6844100000000001
YABX01,20110103,930,0.69296
YABX01,20110103,935,0.71
YABX01,20110103,940,0.69882
YABX01,20110103,945,0.71273
YABX01,20110103,950,0.71622
YABX01,20110103,955,0.64158
YABX01,20110103,960,0.6929500000000001
YABX01,20110103,965,0.71935
YABX01,20110103,970,0.68549
YABX01,20110103,975,0.71871
YABX01,20110103,980,0.67825
YABX01,20110103,985,0.73675
YABX01,20110103,990,0.7060200000000001
YABX01,20110103,995,0.6931499999999999
YABX01,20110103,1000,0.68333
YABX01,20110103,1005,0.6861
YABX01,20110103,1010,0.7101999999999999
YABX01,20110103,1015,0.72935
YABX01,20110103,1020,0.71057
YABX01,20110103,1025,0.69792
YABX01,20110103,1030,0.70041
YABX01,20110103,1035,0.6964100000000001
YABX01,20110103,1040,0.69646
YABX01,20110103,1045,0.7168399999999999
YABX01,20110103,1050,0.6923999999999999
YABX01,20110103,1055,0.67655
YABX01,20110103,1060,0.70604
YABX01,20110103,1065,0.70619
YABX01,20110103,1070,0.6984
YABX01,20110103,1075,0.6857099999999999
YABX01,20110103,1080,0.73667
YABX01,20110103,1085,0.7315200000000001
YABX01,20110103,1090,0.73057
YABX01,20110103,1095,0.7015399999999999
YABX01,20110103,1100,0.7501300000000001
YABX01,20110103,1105,0.74884
YABX01,20110103,1110,0.71551
YABX01,20110103,1115,0.742
YABX01,20110103,1120,0.74446
YABX01,20110103,1125,0.728
YABX01,20110103,1130,0.72953
YABX01,20110103,1135,0.73167
YABX01,20110103,1140,0.76047
YABX01,20110103,1145,0.76202
YABX01,20110103,1150,0.73221
YABX01,20110103,1155,0.6991200000000001
YABX01,20110103,1160,0.7258199999999999
YABX01,20110103,1165,0.73188
YABX01,20110103,1170,0.71
YABX01,20110103,1175,0.7314
YABX01,20110103,1180,0.7075199999999999
YABX01,20110103,1185,0.72846
YABX01,20110103,1190,0.71628
YABX01,20110103,1195,0.7010299999999999
YABX01,20110103,1200,0.72925
YABX01,20110103,1205,0.72604
YABX01,20110103,1210,0.69
YABX01,20110103,1215,0.7015
YABX01,20110103,1220,0.71396
YABX01,20110103,1225,0.69663
YABX01,20110103,1230,0.72646
YABX01,20110103,1235,0.7632599999999999
YABX01,20110103,1240,0.69
YABX01,20110103,1245,0.67593
YABX01,20110103,1250,0.6875199999999999
YABX01,20110103,1255,0.7386400000000001
YABX01,20110103,1260,0.7037300000000001
YABX01,20110103,1265,0.7087300000000001
YABX01,20110103,1270,0.7229399999999999
YABX01,20110103,1275,0.72175
YABX01,20110103,1280,0.7038800000000001
YABX01,20110103,1285,0.69646
YABX01,20110103,1290,0.7218800000000001
YABX01,20110103,1295,0.73713
YABX01,20110103,1300,0.7303000000000001
YABX01,20110103,1305,0.685
YABX01,20110103,1310,0.7021299999999999
YABX01,20110103,1315,0.7368399999999999
YABX01,20110103,1320,0.72882
YABX01,20110103,1325,0.7426900000000001
YABX01,20110103,1330,0.72317
YABX01,20110103,1335,0.73607
YABX01,20110103,1340,0.7454500000000001
YABX01,20110103,1345,0.7453799999999999
YABX01,20110103,1350,0.74373
YABX01,20110103,1355,0.7264700000000001
YABX01,20110103,1360,0.7555200000000001
YABX01,20110103,1365,0.78578
YABX01,20110103,1370,0.71677
YABX01,20110103,1375,0.72592
YABX01,20110103,1380,0.80364
YABX01,20110103,1385,0.76889
YABX01,20110103,1390,0.78066
YABX01,20110103,1395,0.78326
YABX01,20110103,1400,0.78364
