线圈编号,日期,时间(min),平均速度(km/h)
YABX01,20110106,5,0.081556
YABX01,20110106,10,0.07741200000000001
YABX01,20110106,15,0.075406
YABX01,20110106,20,0.07659999999999999
YABX01,20110106,25,0.07970000000000001
YABX01,20110106,30,0.073667
YABX01,20110106,35,0.075
YABX01,20110106,40,0.07448
YABX01,20110106,45,0.07789499999999999
YABX01,20110106,50,0.076737
YABX01,20110106,55,0.075
YABX01,20110106,60,0.077194
YABX01,20110106,65,0.08143500000000001
YABX01,20110106,70,0.08205899999999999
YABX01,20110106,75,0.07784999999999999
YABX01,20110106,80,0.078333
YABX01,20110106,85,0.08330800000000001
YABX01,20110106,90,0.08122199999999999
YABX01,20110106,95,0.07672
YABX01,20110106,100,0.075222
YABX01,20110106,105,0.075611
YABX01,20110106,110,0.0732
YABX01,20110106,115,0.078222
YABX01,20110106,120,0.081438
YABX01,20110106,125,0.086545
YABX01,20110106,130,0.074077
YABX01,20110106,135,0.0798
YABX01,20110106,140,0.07225
YABX01,20110106,145,0.066
YABX01,20110106,150,0.069214
YABX01,20110106,155,0.075182
YABX01,20110106,160,0.076333
YABX01,20110106,165,0.065
YABX01,20110106,170,0.07175
YABX01,20110106,175,0.07175
YABX01,20110106,180,0.084125
YABX01,20110106,185,0.06822199999999999
YABX01,20110106,190,0.078
YABX01,20110106,195,0.088
YABX01,20110106,200,0.06825
YABX01,20110106,205,0.079667
YABX01,20110106,210,0.102
YABX01,20110106,215,0.086
YABX01,20110106,220,0.0745
YABX01,20110106,225,0.068
YABX01,20110106,230,0.06225
YABX01,20110106,235,0.083286
YABX01,20110106,240,0.073667
YABX01,20110106,245,0.085
YABX01,20110106,250,0.082
YABX01,20110106,255,0.075167
YABX01,20110106,260,0.0965
YABX01,20110106,265,0.085
YABX01,20110106,270,0.082
YABX01,20110106,275,0.0795
YABX01,20110106,280,0.0815
YABX01,20110106,285,0.081364
YABX01,20110106,290,0.079
YABX01,20110106,295,0.080125
YABX01,20110106,300,0.07738500000000001
YABX01,20110106,305,0.077143
YABX01,20110106,310,0.082182
YABX01,20110106,315,0.079636
YABX01,20110106,320,0.076455
YABX01,20110106,325,0.08430800000000001
YABX01,20110106,330,0.07941200000000001
YABX01,20110106,335,0.08164300000000001
YABX01,20110106,340,0.0714
YABX01,20110106,345,0.075846
YABX01,20110106,350,0.077
YABX01,20110106,355,0.075957
YABX01,20110106,360,0.086435
YABX01,20110106,365,0.078269
YABX01,20110106,370,0.079286
YABX01,20110106,375,0.08170999999999999
YABX01,20110106,380,0.077158
YABX01,20110106,385,0.072617
YABX01,20110106,390,0.074214
YABX01,20110106,395,0.07584199999999999
YABX01,20110106,400,0.074742
YABX01,20110106,405,0.06902599999999999
YABX01,20110106,410,0.074327
YABX01,20110106,415,0.073193
YABX01,20110106,420,0.073277
YABX01,20110106,425,0.071597
YABX01,20110106,430,0.073417
YABX01,20110106,435,0.07059
YABX01,20110106,440,0.07077599999999999
YABX01,20110106,445,0.06643
YABX01,20110106,450,0.069209
YABX01,20110106,455,0.067
YABX01,20110106,460,0.069
YABX01,20110106,465,0.071
YABX01,20110106,470,0.06681100000000001
YABX01,20110106,475,0.048567
YABX01,20110106,480,0.039574
YABX01,20110106,485,0.067562
YABX01,20110106,490,0.064143
YABX01,20110106,495,0.06611
YABX01,20110106,500,0.063416
YABX01,20110106,505,0.064581
YABX01,20110106,510,0.067
YABX01,20110106,515,0.063
YABX01,20110106,520,0.06457500000000001
YABX01,20110106,525,0.064
YABX01,20110106,530,0.06885899999999999
YABX01,20110106,535,0.065
YABX01,20110106,540,0.066728
YABX01,20110106,545,0.07127700000000001
YABX01,20110106,550,0.06958299999999999
YABX01,20110106,555,0.06541
YABX01,20110106,560,0.06758700000000001
YABX01,20110106,565,0.068369
YABX01,20110106,570,0.065834
YABX01,20110106,575,0.054323
YABX01,20110106,580,0.04090100000000001
YABX01,20110106,585,0.04
YABX01,20110106,590,0.014083
YABX01,20110106,595,0.018505
YABX01,20110106,600,0.031
YABX01,20110106,605,0.062789
YABX01,20110106,610,0.055841999999999996
YABX01,20110106,615,0.067403
YABX01,20110106,620,0.065607
YABX01,20110106,625,0.066
YABX01,20110106,630,0.062407
YABX01,20110106,635,0.06481
YABX01,20110106,640,0.069
YABX01,20110106,645,0.066969
YABX01,20110106,650,0.06393399999999999
YABX01,20110106,655,0.064554
