线圈编号,日期,时间(min),平均速度(km/h)
YABX01,20110105,5,77.351
YABX01,20110105,10,73.947
YABX01,20110105,15,78.517
YABX01,20110105,20,76.409
YABX01,20110105,25,74.8
YABX01,20110105,30,80
YABX01,20110105,35,76.706
YABX01,20110105,40,80.233
YABX01,20110105,45,77.714
YABX01,20110105,50,79.2
YABX01,20110105,55,79.654
YABX01,20110105,60,77.794
YABX01,20110105,65,79.75
YABX01,20110105,70,83.205
YABX01,20110105,75,82.125
YABX01,20110105,80,79.917
YABX01,20110105,85,84.969
YABX01,20110105,90,79.615
YABX01,20110105,95,81.647
YABX01,20110105,100,81.737
YABX01,20110105,105,77.968
YABX01,20110105,110,78.684
YABX01,20110105,115,86.875
YABX01,20110105,120,77.731
YABX01,20110105,125,77
YABX01,20110105,130,74.071
YABX01,20110105,135,73
YABX01,20110105,140,76.462
YABX01,20110105,145,79.154
YABX01,20110105,150,82.154
YABX01,20110105,155,68.313
YABX01,20110105,160,81.2
YABX01,20110105,165,77.565
YABX01,20110105,170,74.947
YABX01,20110105,175,75.923
YABX01,20110105,180,82.3
YABX01,20110105,185,76.778
YABX01,20110105,190,67.333
YABX01,20110105,195,76.4
YABX01,20110105,200,60.333
YABX01,20110105,205,81.182
YABX01,20110105,210,77.6
YABX01,20110105,215,80.909
YABX01,20110105,220,66.429
YABX01,20110105,225,75.75
YABX01,20110105,230,76
YABX01,20110105,235,80
YABX01,20110105,240,83
YABX01,20110105,245,78.8
YABX01,20110105,250,80.667
YABX01,20110105,255,71.429
YABX01,20110105,260,85.143
YABX01,20110105,265,77.5
YABX01,20110105,270,95.167
YABX01,20110105,275,74.5
YABX01,20110105,280,76.5
YABX01,20110105,285,87
YABX01,20110105,290,78.857
YABX01,20110105,295,78
YABX01,20110105,300,75.778
YABX01,20110105,305,81.846
YABX01,20110105,310,78.231
YABX01,20110105,315,75.273
YABX01,20110105,320,98
YABX01,20110105,325,89.4
YABX01,20110105,330,81.25
YABX01,20110105,335,74.75
YABX01,20110105,340,82.13
YABX01,20110105,345,83.438
YABX01,20110105,350,78.471
YABX01,20110105,355,75.133
YABX01,20110105,360,81.786
YABX01,20110105,365,74.5
YABX01,20110105,370,81.474
YABX01,20110105,375,80.1
YABX01,20110105,380,79.297
YABX01,20110105,385,78.108
YABX01,20110105,390,77.831
YABX01,20110105,395,76.792
YABX01,20110105,400,73
YABX01,20110105,405,73.613
YABX01,20110105,410,74.126
YABX01,20110105,415,71.05
YABX01,20110105,420,73.937
YABX01,20110105,425,75
YABX01,20110105,430,72.628
YABX01,20110105,435,71.168
YABX01,20110105,440,70.153
YABX01,20110105,445,67.838
YABX01,20110105,450,67.428
YABX01,20110105,455,68.794
YABX01,20110105,460,70.435
YABX01,20110105,465,69.753
YABX01,20110105,470,64
