ResponseID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,A1_RegionName
1,car,9999,1,everyday,commuting,5,36,male,Chinese,none,30万元以上～50万元以下,4,4,4,4,4,3,3,3,2,2,1,1,1,1,2,1,1,3,3,3,2,3,1,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,上海市(Shanghai)
2,SUV,3,5,several in a week,others,2,38,male,Chinese,none,20万元以上～30万元以下,5,4,2,4,3,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,4,2,4,4,1,1,1,1,4,4,4,4,上海市(Shanghai)
3,car,2,0,everyday,commuting,9999,55,male,Chinese,none,30万元以上～50万元以下,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,4,4,4,2,2,2,2,2,2,2,2,4,2,上海市(Shanghai)
4,car,1,2,everyday,education,3,38,female,Chinese,none,10万元以上～20万元以下,4,2,4,3,2,4,2,4,3,3,2,3,1,1,3,2,1,4,4,4,3,3,3,3,1,1,3,2,1,3,3,2,3,3,3,3,2,2,4,4,3,3,天津市(Tianjin)
5,SUV,3,2,everyday,commuting,3,29,female,Chinese,none,20万元以上～30万元以下,3,2,2,3,1,3,2,3,2,4,2,2,3,3,3,1,1,3,2,3,2,4,3,2,3,3,3,1,1,3,3,2,3,3,3,3,3,3,3,3,4,3,上海市(Shanghai)
6,SUV,4,0,everyday,commuting,10,35,male,Chinese,none,20万元以上～30万元以下,4,2,2,3,2,3,4,4,3,4,4,3,3,2,2,1,1,4,4,4,3,4,4,2,3,2,2,1,1,3,3,3,4,4,3,3,3,3,4,4,4,3,安徽省(Anhui)
7,car,1,1,several in a week,commuting,8,40,male,Chinese,none,10万元以上～20万元以下,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,4,4,4,4,4,上海市(Shanghai)
8,car,5,0,several in a week,business,9999,45,male,Chinese,Buddhism,不到10万元,4,2,1,1,1,4,2,4,2,2,2,1,2,3,3,2,1,4,3,4,3,4,3,3,3,3,4,2,1,3,2,4,2,2,1,1,1,1,2,3,3,2,上海市(Shanghai)
9,car,1,2,once in a month,others,2,32,male,Chinese,none,10万元以上～20万元以下,2,2,2,2,2,3,3,3,2,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,浙江省(Zhejiang)
10,SUV,4,0,everyday,commuting,9999,40,male,Chinese,none,20万元以上～30万元以下,4,2,1,3,1,3,3,3,3,3,2,2,2,1,2,1,1,3,3,3,3,3,2,1,1,1,2,1,1,4,4,3,3,3,3,2,2,3,4,4,3,3,上海市(Shanghai)
